RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,
11039,746.2868,42,2,4,4,2,2,7,
10694,1049.1319,76,1,2,2,5,2,98,
11570,5998.1801,25,1,4,2,3,1,6,
10478,2577.8324,80,1,2,1,3,4,9,
10366,1828.1823,56,1,3,1,4,1,11,
13387,5998.1801,25,1,4,1,3,3,7,
18406,571.1973,48,2,2,2,4,1,7,
19007,1733.0154,59,2,3,2,1,3,2,
7251,1502.014,34,2,4,1,1,1,7,
10596,1085.651,47,2,4,2,2,1,8,
16726,2309.5479,30,1,2,2,2,1,8,
18838,2589.1997,21,2,5,3,2,3,7,
5024,3497.8793,54,1,5,1,2,4,6,
9144,1945.3434,15,1,4,7,5,3,1,
22256,1654.2047,42,1,3,3,1,2,10,
17492,540.3737,70,2,2,1,4,4,5,
13856,1080.7473,71,2,2,2,3,1,7,
5012,791.7064,35,2,2,4,2,2,7,
8656,1065.8251,60,2,2,2,4,1,4,
10766,2583.3361,17,2,3,7,4,3,3,
3586,219.9948,72,2,1,2,2,3,9,
5963,518.2002,57,2,1,2,4,2,8,
16351,1599.1043,37,1,5,3,1,3,8,
7700,3466.1461,37,1,5,1,2,1,10,
21401,1999.3919,77,2,4,2,2,5,7,
12065,966.0666,60,1,2,2,3,2,12,
1144,1019.1735,66,2,2,2,2,2,4,
5008,1408.4385,44,2,3,2,2,2,10,
1883,891.7693,22,2,1,2,3,3,7,
19509,1733.073,37,1,3,2,3,1,99,
6291,1399.1517,53,1,2,1,5,3,98,
14505,1345.7075,54,1,2,3,3,4,5,
1337,2599.6095,38,1,4,9,4,3,98,
9622,1713.5919,48,2,3,2,4,3,8,
2616,1502.014,33,2,3,3,1,3,98,
12140,1715.851,41,1,2,2,5,3,98,
5033,907.6739,54,2,2,3,2,5,8,
7736,781.8806,61,2,2,4,3,4,4,
1297,1787.6305,25,2,2,2,3,2,4,
14275,639.3581,71,1,2,2,1,5,12,
4638,1101.8652,32,2,5,2,2,2,3,
5251,380.1475,56,2,1,3,3,2,7,
607,375.8868,49,2,1,2,2,1,10,
21744,1134.5924,50,2,5,1,1,2,8,
18430,346.8916,66,1,2,1,1,2,12,
11628,552.23,40,1,1,2,1,3,7,
12575,1535.5357,31,2,2,2,2,3,10,
5997,337.5945,80,2,1,2,3,5,5,
20342,383.2955,57,1,1,2,2,1,10,
12454,1216.8067,36,1,2,2,3,2,7,
17109,987.2,54,1,2,2,3,4,99,
15565,337.5945,80,2,1,9,5,2,6,
11191,398.0882,77,2,1,9,4,3,7,
2276,440.0179,50,1,1,1,1,2,10,
278,380.1475,59,2,1,3,2,3,8,
21881,383.2955,58,1,1,2,3,4,11,
22047,814.9414,49,2,2,3,1,3,8,
1020,1173.0899,36,1,3,2,2,2,11,
1040,893.8153,28,2,2,3,3,1,6,
13566,515.6307,30,2,1,2,2,2,7,
